indicator,num_companies,coverage_percentage
extendedDecimalScope1And2GhgEmissionsLocationBasedInTonnes,32,34.78260869565217
extendedIntegerFemaleBoardMembersBoardOfDirectors,32,34.78260869565217
extendedDecimalEmissionsOfOzoneDepletionSubstancesInTonnes,31,33.69565217391305
extendedIntegerSanctionedIncidentsOfDiscrimination,31,33.69565217391305
extendedDecimalEnterpriseValueInEUR,31,33.69565217391305
extendedIntegerReportedIncidentsOfDiscrimination,31,33.69565217391305
extendedIntegerReportedConvictionsOfBriberyAndCorruption,31,33.69565217391305
extendedIntegerNumberOfReportedIncidentsOfHumanRightsViolations,31,33.69565217391305
extendedIntegerMaleBoardMembersSupervisoryBoard,31,33.69565217391305
extendedIntegerCasesOfInsufficientActionAgainstBriberyAndCorruption,31,33.69565217391305
extendedIntegerFemaleBoardMembersSupervisoryBoard,31,33.69565217391305
extendedDecimalNonRenewableEnergyConsumptionCoalInGWh,31,33.69565217391305
extendedEnumYesNoIsNfrdMandatory,31,33.69565217391305
extendedDecimalNonRenewableEnergyConsumptionLigniteInGWh,31,33.69565217391305
extendedDecimalEmissionsOfAirPollutantsInTonnes,31,33.69565217391305
extendedEnumFiscalYearDeviation,31,33.69565217391305
extendedDecimalWaterReusedInCubicMeters,31,33.69565217391305
extendedDecimalNumberOfEmployees,31,33.69565217391305
extendedDecimalEmissionsOfInorganicPollutantsInTonnes,31,33.69565217391305
customEnumEuTaxonomyReportingAssurance,31,33.69565217391305
extendedCurrencyTotalAmountOfReportedFinesOfBriberyAndCorruption,31,33.69565217391305
extendedCurrencyAverageGrossHourlyEarningsFemaleEmployees,31,33.69565217391305
extendedCurrencyAverageGrossHourlyEarningsMaleEmployees,31,33.69565217391305
extendedDateFiscalYearEnd,31,33.69565217391305
extendedDecimalCarbonFootprintInTonnesPerMillionEUREnterpriseValue,31,33.69565217391305
extendedDecimalBoardGenderDiversitySupervisoryBoardInPercent,31,33.69565217391305
extendedDecimalScope4GhgEmissionsInTonnes,30,32.608695652173914
extendedDecimalTotalHighImpactClimateSectorEnergyConsumptionInGWh,30,32.608695652173914
extendedDecimalGhgIntensityScope4InTonnesPerMillionEURRevenue,30,32.608695652173914
extendedCurrencyTotalAmount,28,30.434782608695656
extendedEnumYesNoNaScopeOfEntities,28,30.434782608695656
extendedDecimalRevenueSubstantialContributionToClimateChangeAdaptationInPercentAligned,28,30.434782608695656
extendedDecimalCapexSubstantialContributionToClimateChangeMitigationInPercentAligned,28,30.434782608695656
extendedDecimalRevenueSubstantialContributionToClimateChangeMitigationInPercentAligned,28,30.434782608695656
extendedDecimalCapexSubstantialContributionToClimateChangeAdaptationInPercentAligned,28,30.434782608695656
extendedDecimalCapexNonEligibleShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalCapexEligibleShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalRevenueSubstantialContributionToPollutionPreventionAndControlInPercentAligned,28,30.434782608695656
extendedDecimalCapexNonAlignedShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalCapexEnablingShareInPercent,28,30.434782608695656
extendedDecimalRevenueNonAlignedShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalCapexAlignedShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalRevenueNonEligibleShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalRevenueEligibleShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalRevenueEnablingShareInPercent,28,30.434782608695656
extendedDecimalCapexSubstantialContributionToPollutionPreventionAndControlInPercentAligned,28,30.434782608695656
extendedDecimalOpexSubstantialContributionToClimateChangeMitigationInPercentAligned,28,30.434782608695656
extendedDecimalOpexSubstantialContributionToClimateChangeAdaptationInPercentAligned,28,30.434782608695656
extendedDecimalOpexNonEligibleShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalOpexNonAlignedShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalOpexEnablingShareInPercent,28,30.434782608695656
extendedDecimalOpexEligibleShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalOpexAlignedShareRelativeShareInPercent,28,30.434782608695656
extendedDecimalOpexSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentAligned,28,30.434782608695656
extendedDecimalOpexSubstantialContributionToTransitionToACircularEconomyInPercentAligned,28,30.434782608695656
extendedEnumYesNoEuTaxonomyActivityLevelReporting,28,30.434782608695656
extendedDecimalCapexSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentAligned,28,30.434782608695656
extendedDecimalOpexTransitionalShareInPercent,28,30.434782608695656
extendedDecimalCapexSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentAligned,28,30.434782608695656
extendedDecimalRevenueAlignedShareRelativeShareInPercent,28,30.434782608695656
extendedCurrencyRevenueNonEligibleShareAbsoluteShare,28,30.434782608695656
extendedDecimalOpexSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentAligned,28,30.434782608695656
extendedDecimalOpexSubstantialContributionToPollutionPreventionAndControlInPercentAligned,28,30.434782608695656
extendedCurrencyRevenueNonAlignedShareAbsoluteShare,28,30.434782608695656
extendedDecimalCapexSubstantialContributionToTransitionToACircularEconomyInPercentAligned,28,30.434782608695656
eutaxonomy-non-financials,28,30.434782608695656
extendedCurrencyCapexAlignedShareAbsoluteShare,28,30.434782608695656
extendedDecimalCapexTransitionalShareInPercent,28,30.434782608695656
extendedDecimalRevenueTransitionalShareInPercent,28,30.434782608695656
extendedCurrencyCapexEligibleShareAbsoluteShare,28,30.434782608695656
extendedCurrencyCapexNonAlignedShareAbsoluteShare,28,30.434782608695656
extendedCurrencyCapexNonEligibleShareAbsoluteShare,28,30.434782608695656
extendedCurrencyCapexTotalAmount,28,30.434782608695656
extendedDecimalRevenueSubstantialContributionToTransitionToACircularEconomyInPercentAligned,28,30.434782608695656
extendedDecimalRevenueSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentAligned,28,30.434782608695656
extendedEuTaxonomyNonAlignedActivitiesComponentRevenueNonAlignedActivities,28,30.434782608695656
extendedCurrencyRevenueEligibleShareAbsoluteShare,28,30.434782608695656
extendedEuTaxonomyNonAlignedActivitiesComponentCapexNonAlignedActivities,28,30.434782608695656
extendedEuTaxonomyAlignedActivitiesComponentRevenueAlignedActivities,28,30.434782608695656
extendedEuTaxonomyNonAlignedActivitiesComponentOpexNonAlignedActivities,28,30.434782608695656
extendedCurrencyOpexAlignedShareAbsoluteShare,28,30.434782608695656
extendedCurrencyRevenueAlignedShareAbsoluteShare,28,30.434782608695656
extendedDecimalRevenueSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentAligned,28,30.434782608695656
extendedEuTaxonomyAlignedActivitiesComponentOpexAlignedActivities,28,30.434782608695656
extendedEuTaxonomyAlignedActivitiesComponentCapexAlignedActivities,28,30.434782608695656
extendedCurrencyOpexTotalAmount,28,30.434782608695656
extendedCurrencyOpexNonEligibleShareAbsoluteShare,28,30.434782608695656
extendedCurrencyOpexNonAlignedShareAbsoluteShare,28,30.434782608695656
extendedCurrencyOpexEligibleShareAbsoluteShare,28,30.434782608695656
extendedDecimalRevenueSubstantialContributionToClimateChangeAdaptationInPercentEnablingShare,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToTransitionToACircularEconomyInPercentEnablingShare,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToTransitionToACircularEconomyInPercentEligible,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToTransitionToACircularEconomyInPercentEnablingShare,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToTransitionToACircularEconomyInPercentEligible,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToPollutionPreventionAndControlInPercentEnablingShare,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToPollutionPreventionAndControlInPercentEligible,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToClimateChangeMitigationInPercentEligible,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToClimateChangeMitigationInPercentTransitionalShare,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentEligible,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentEnablingShare,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentEnablingShare,27,29.347826086956523
